Position (mm),Power (mW)
5.60,0.000
5.65,0.000
5.70,0.000
5.75,0.000
5.80,0.000
5.85,0.000
5.90,0.000
5.95,0.000
6.00,0.001
6.05,0.001
6.10,0.001
6.15,0.001
6.20,0.002
6.25,0.002
6.30,0.003
6.35,0.005
6.40,0.008
6.45,0.013
6.50,0.020
6.55,0.028
6.60,0.040
6.65,0.055
6.70,0.070
6.75,0.090
6.80,0.112
6.85,0.132
6.90,0.157
6.95,0.180
7.00,0.205
7.05,0.226
7.10,0.247
7.15,0.266
7.20,0.282
7.25,0.296
7.30,0.308
7.35,0.318
7.40,0.325
7.45,0.331
7.50,0.335
7.55,0.337
7.60,0.339
7.65,0.340
7.70,0.341
7.75,0.342
7.80,0.342
7.85,0.342
7.90,0.342
7.95,0.342
8.00,0.343
8.05,0.343
8.10,0.343
8.15,0.343
8.20,0.343
8.25,0.343
8.30,0.343
